ver_image_path,car_image_path,label
./ourcar/aamir_khan/08.jpg,./ourcar/aamir_khan_caricature/17.jpg,1
./ourcar/aamir_khan/08.jpg,./ourcar/dwayne_johnson_caricature/02.jpg,0
./ourcar/adam_driver/07.jpg,./ourcar/adam_driver_caricature/02.jpg,1
./ourcar/adam_driver/07.jpg,./ourcar/stan_lee_caricature/05.jpg,0
./ourcar/adam_sandler/07.jpg,./ourcar/adam_sandler_caricature/03.jpg,1
./ourcar/adam_sandler/07.jpg,./ourcar/george_takei_caricature/02.jpg,0
./ourcar/adele/08.jpg,./ourcar/adele_caricature/25.jpg,1
./ourcar/adele/08.jpg,./ourcar/george_lopez_caricature/03.jpg,0
./ourcar/aishwarya_rai/08.jpg,./ourcar/aishwarya_rai_caricature/11.jpg,1
./ourcar/aishwarya_rai/08.jpg,./ourcar/janet_jackson_caricature/03.jpg,0
./ourcar/ajit_pai/07.jpg,./ourcar/ajit_pai_caricature/03.jpg,1
./ourcar/ajit_pai/07.jpg,./ourcar/priyanka_chopra_caricature/03.jpg,0
./ourcar/alec_baldwin/07.jpg,./ourcar/alec_baldwin_caricature/03.jpg,1
./ourcar/alec_baldwin/07.jpg,./ourcar/jennifer_lopez_caricature/01.jpg,0
./ourcar/alexandria_ocasio-cortez/10.jpg,./ourcar/alexandria_ocasio-cortez_caricature/02.jpg,1
./ourcar/alexandria_ocasio-cortez/10.jpg,./ourcar/george_rr_martin_caricature/03.jpg,0
./ourcar/alfred_hitchcock/24.jpg,./ourcar/alfred_hitchcock_caricature/09.jpg,1
./ourcar/alfred_hitchcock/24.jpg,./ourcar/benedict_cumberbatch_caricature/07.jpg,0
./ourcar/amy_poehler/07.jpg,./ourcar/amy_poehler_caricature/03.jpg,1
./ourcar/amy_poehler/07.jpg,./ourcar/eddie_murphy_caricature/07.jpg,0
./ourcar/anderson_cooper/24.jpg,./ourcar/anderson_cooper_caricature/15.jpg,1
./ourcar/anderson_cooper/24.jpg,./ourcar/justin_trudeau_caricature/03.jpg,0
./ourcar/andy_samberg/02.jpg,./ourcar/andy_samberg_caricature/03.jpg,1
./ourcar/andy_samberg/02.jpg,./ourcar/madonna_caricature/09.jpg,0
./ourcar/angela_merkel/13.jpg,./ourcar/angela_merkel_caricature/16.jpg,1
./ourcar/angela_merkel/13.jpg,./ourcar/stan_lee_caricature/05.jpg,0
